date,delta,ofz_below_1y,k_rate,usd_below_1y,rur_below_1y,urals_price,buyer_prices_index,m0,m2,usd_to_rur,avg_payment
1-1-2018,-453104,6.49,7.75,0.76,5.53,67.9,170.111589523762,9974400,42442.2,56.2914,39016.6841788071
2-1-2018,380519,6.72,7.75,0.72,5.42,67,170.449538951796,10111800,41597.5,55.6717,40443.3628794952
3-1-2018,211634,6.3,7.5,0.83,5.43,68,170.944584626663,10253400,42045.5,57.2649,42363.5731972862
4-1-2018,450166,6.13,7.25,0.83,5.29,69,171.599355316224,10523100,42377,61.9997,43381.051688983
5-1-2018,239,6.57,7.25,1.49,5.39,68,172.237010956742,10582800,43122,62.5937,44075.5375373829
6-1-2018,273940,6.66,7.25,1.76,5.1,70,173.085778843473,10756300,43257.4,62.7565,45848.0776479824
7-1-2018,20882,6.83,7.25,1.32,5.04,71,173.55887433855,10863900,44125.3,62.7805,42413.4651766869
8-1-2018,-87913,7.08,7.25,1.32,4.98,69,173.566727515058,10960700,43910.9,68.0821,41363.6006713941
9-1-2018,-178039,7.29,7.25,1.78,5.14,73,173.844432456552,10949500,44369.1,65.5906,41774.3033664123
10-1-2018,158974,7.33,7.5,3.03,5.54,74,174.454581319565,10859200,44253.4,65.7742,42331.6687145214
11-1-2018,-51824,7.71,7.5,2.49,5.89,75,175.319508680161,10791700,44219,66.6342,42595.005329931
12-1-2018,983509,7.78,7.5,2.57,5.62,59,176.784246905807,11149800,44892.1,69.4706,51197.3451855276
