date,rLoan,rMortgage,rMortgage_npl,uLoan
2019-01-01,14752662,6376845,61300,103962
2018-12-01,14602275,6323159,60999,88085
2018-11-01,14283401,6169169,61103,89596
2018-10-01,14042130,6084291,60282,91673
2018-09-01,13756629,5953984,59893,97072
2018-08-01,13433221,5827840,59294,89987
2018-07-01,13159323,5719239,58056,93175
2018-06-01,12920830,5601787,58002,94492
2018-05-01,12666535,5500317,57186,97272
2018-04-01,12434674,5381187,56469,95338
2018-03-01,12241158,5272275,56636,92466
2018-02-01,12125460,5184693,55965,95153
2018-01-01,12035737,5144935,54575,99713
2017-12-01,11855189,5016067,56309,109372
2017-11-01,11662725,4901760,55644,111410
2017-10-01,11512076,4848716,54550,117100
2017-09-01,11353881,4758039,53879,123669
2017-08-01,11164672,4678205,53512,130494
2017-07-01,11018737,4616329,52260,132331
2017-06-01,10903024,4554650,52462,124925
2017-05-01,10820605,4551779,51362,127953
2017-04-01,10708339,4487673,50577,129151
2017-03-01,10602105,4434873,49516,137924
2017-02-01,10587915,4410903,48927,146554
2017-01-01,10619209,4422239,48059,154524
2016-12-01,10585871,4345935,48336,173124
2016-11-01,10538916,4285774,47715,178774
2016-10-01,10508638,4234805,47272,184394
2016-09-01,10466379,4185628,47204,194868
2016-08-01,10381038,4133720,46362,207296
2016-07-01,10343383,4092126,45764,200448
2016-06-01,10332049,4058186,45280,208466
2016-05-01,10312330,4025465,43976,206646
2016-04-01,10297408,3984292,43202,225326
2016-03-01,10312095,3941371,42208,257343
2016-02-01,10309191,3868230,41159,269673
2016-01-01,10366829,3851153,39524,131084
2015-12-01,10380135,3716496,38995,122204
2015-11-01,10416228,3666185,37647,122154
2015-10-01,10446534,3615354,36918,129180
2015-09-01,10449261,3569433,36185,132488
2015-08-01,10435088,3527048,34867,119395
2015-07-01,10442600,3493319,34104,115725
2015-06-01,10498930,3474034,33286,112941
2015-05-01,10547902,3448873,32418,114541
2015-04-01,10621468,3424346,31342,135328
2015-03-01,10747334,3421314,30176,143777
2015-02-01,10869545,3394376,29638,164955
2015-01-01,11005284,3391888,28954,136491
2014-12-01,11014419,3320792,27691,128645
2014-11-01,10925913,3239516,27205,117139
2014-10-01,10829160,3169450,26961,108641
2014-09-01,10705797,3096218,27005,104572
2014-08-01,10570900,3028347,26859,104366
2014-07-01,10400058,2936427,26368,100304
2014-06-01,10268228,2870705,26357,105360
2014-05-01,10149217,2794925,26075,110370
2014-04-01,9964299,2697532,25767,112287
2014-03-01,9821417,2628020,25856,118068
2014-02-01,9708231,2563580,25567,118933
2014-01-01,9698947,2536869,25443,111990
2013-12-01,9493013,2443924,25639,116090
2013-11-01,9347718,2367199,26178,114258
2013-10-01,9132810,2283576,26319,115769
2013-09-01,8994086,2276773,27374,120516
2013-08-01,8768448,2221524,27325,120311
2013-07-01,8526504,2154063,26745,121005
2013-06-01,8318646,2096144,27710,117974
2013-05-01,8095603,2042395,27940,119041
2013-04-01,7842010,1975575,27867,119330
2013-03-01,7669177,1933625,28038,119542
2013-02-01,7542337,1890956,28164,120128
2013-01-01,7474221,1874345,27533,122859
2012-12-01,7290373,1807825,24779,130548
2012-11-01,7107934,1747734,25006,134667
2012-10-01,6901185,1686091,25146,134325
2012-09-01,6710934,1636799,25406,141683
2012-08-01,6466574,1580569,25478,143325
2012-07-01,6269335,1538264,25409,148044
2012-06-01,6063001,1492786,25487,147946
2012-05-01,5833424,1449982,25560,137174
2012-04-01,5606310,1398876,25455,141004
2012-03-01,5406988,1358002,26254,143301
2012-02-01,5273307,1325953,26188,152802
2012-01-01,5218033,1314331,25946,164651
2011-12-01,5002340,1262395,26006,163750
2011-11-01,4851530,1217198,25821,160150
2011-10-01,4706966,1181914,25583,173648
2011-09-01,4555747,1150160,25497,161765
2011-08-01,4395178,1113145,25369,155980
2011-07-01,4256170,1083924,25462,159536
2011-06-01,4113235,1049487,25007,159953
2011-05-01,3983348,1020032,24586,158883
2011-04-01,3857061,993849,24476,165021
2011-03-01,3762689,969771,24221,169388
2011-02-01,3722987,958006,24333,174976
2011-01-01,3715268,949247,23564,180126
2010-12-01,3621060,918967,26075,186529
2010-11-01,3560920,900597,25348,185771
2010-10-01,3494178,884305,25026,185420
2010-09-01,3423766,868978,24427,187097
2010-08-01,3354201,856291,23358,185962
2010-07-01,3282286,841468,22279,192435
2010-06-01,3224750,834515,22414,190604
2010-05-01,3183129,828811,21593,185010
2010-04-01,3144354,819567,20773,187410
2010-03-01,3130811,812733,19858,193025
2010-02-01,3139479,810660,19099,197924
2010-01-01,3167182.5,812774.7,18525.6,198113.8
2009-12-01,3174193.8,803558.6,17366.8,197463.4
2009-11-01,3184982.5,800784.4,16493.9,195158.6
2009-10-01,3190623.9,798082.6,15379.3,205922
2009-09-01,3207467.6,797793.2,13912.9,216860.7
2009-08-01,3218173.3,798116.5,12776.6,222075.6
2009-07-01,3232124.6,798071.9,11640.8,220821
2009-06-01,3266609.3,801482.8,9053.8,223316.8
2009-05-01,3300033.5,805121.9,9324.5,240514.9
2009-04-01,3341053.6,809362.6,8134.9,248972.5
2009-03-01,0,826950.4,7066,265331.9
2009-02-01,0,820916,5971.1,269010.4
2009-01-01,3528064.8,838942,5255.9,231387.2
